Timestamp,Consent Agreement: I confirm that I am at least 18 years old and consent to my anonymized data being collected for academic research and non-clinical algorithm development.,Gender,Current Academic Year,Current Living Arrangement,Average Daily Academic Screen Time (Hours),Average Daily Entertainment / Social Screen Time (Hours),"Over the past 2 weeks, how often have you felt nervous, anxious, or excessively stressed?",How frequently do racing thoughts or repetitive worry delay your sleep or relaxation?,How often do you experience difficulty concentrating or mental slowness during study sessions?,"How often over the past month have you felt a lack of energy, interest, or motivation in daily routines?",How frequently do you experience sudden irritability or mental exhaustion by the end of the day?,"On average, how many hours of uninterrupted sleep do you get per night?","Briefly describe the main factors (e.g., exams, habits, diet, screen time) that affect your emotional well-being most.",Average daily step count or walking duration (in Minutes),"Weekly physical exercise, sports, or gym activity frequency",Average consecutive hours spent sitting without taking an active break,Rate your overall physical energy level by evening,Average daily water intake (in Liters),Daily meal regularity,Which of these do you regularly eat or drink (3+ days a week)? (Select all that apply),How often do you experience digestive discomfort or bloating?
8/15/2026 6:30:33,Yes,Female,4th year,Living with Family,4 hours,4 hours,2,1,1,2,2,Never,Screen time ,5km,3-4 days,2,3,3litre,3 regular meals,Home-cooked / Mess-cooked balanced meals,2
8/15/2026 6:54:24,Yes,Male,3rd year,Living with Family,5,2,1,1,1,1,3,6hr,Assignment ,Dont know ,3-4 days,1hr,3,3ltr,Skip 1 meal daily,"Fresh Fruits / Vegetables, Home-cooked / Mess-cooked balanced meals",1
8/15/2026 7:51:34,Yes,Male,2nd year,Living with Family,1,7,1,1,4,2,1,8,Exams kinda affect my sleep schedule cuz that's the only time I study,10000,5+ days,3,5,2,3 regular meals,"Fresh Fruits / Vegetables, High-Protein items (Eggs, Paneer, Meat, Pulses), Fast Food / Fried Snacks / Junk Food, Sugary Drinks / Energy Drinks / Excessive Caffeine, Home-cooked / Mess-cooked balanced meals, Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes)",2
8/15/2026 9:04:30,Yes,Male,2nd year,Flat/PG,1.5,4,3,4,3,4,3,6,"habits, screentime, procrastination ",30,1-2 days,2,3,4,3 regular meals,"Fast Food / Fried Snacks / Junk Food, Home-cooked / Mess-cooked balanced meals, Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes)",2
8/15/2026 10:21:24,Yes,Female,2nd year,Living with Family,Don't know ,Don't know ,1,1,4,3,1,8-9,Habits,Don't know ,1-2 days,Don't know ,4,2-3L,Skip 1 meal daily,"Fresh Fruits / Vegetables, High-Protein items (Eggs, Paneer, Meat, Pulses), Fast Food / Fried Snacks / Junk Food, Sugary Drinks / Energy Drinks / Excessive Caffeine, Home-cooked / Mess-cooked balanced meals, Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes), Dietary & Health Supplements(multivitamins, Omega-3, Creatine, Vitamin D, etc)",2
8/15/2026 11:23:28,Yes,Male,2nd year,Living with Family,6,1,1,3,3,3,1,4,future opportunity ,60,1-2 days,3,1,2,3 regular meals,"High-Protein items (Eggs, Paneer, Meat, Pulses), Home-cooked / Mess-cooked balanced meals, Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes)",1
8/15/2026 11:27:20,Yes,Female,2nd year,Living with Family,4 hrs,3-4hrs,3,2,2,2,2,7hrs,"Stress , exhaustion etc",30-50,1-2 days,1hr,3,8liters,3 regular meals,"Fresh Fruits / Vegetables, Home-cooked / Mess-cooked balanced meals, Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes)",4
8/15/2026 12:10:06,Yes,Female,3rd year,Hostel,4,3,4,4,3,5,5,6,long college hours without any breaks ,"11,000",1-2 days,3-4,1,1,Irregular/Random eating times,Home-cooked / Mess-cooked balanced meals,1
8/15/2026 12:42:38,Yes,Female,2nd year,Hostel,3,3,5,5,3,3,3,9-10,Habits,12000,3-4 days,2,3,2,Skip 1 meal daily,"Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes)",2
8/15/2026 13:22:14,Yes,Male,2nd year,Flat/PG,5 hours ,4 hours ,2,1,2,3,5,7 hours ,"Her attitude, no matter how hard i try she never seems happy. ",8k steps ,1-2 days,5 hours ,4,4 liters ,Skip 1 meal daily,"Fresh Fruits / Vegetables, High-Protein items (Eggs, Paneer, Meat, Pulses), Fast Food / Fried Snacks / Junk Food, Sugary Drinks / Energy Drinks / Excessive Caffeine, Home-cooked / Mess-cooked balanced meals, Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes), Dietary & Health Supplements(multivitamins, Omega-3, Creatine, Vitamin D, etc)",1
8/15/2026 13:52:54,Yes,Female,1st year,Living with Family,2,2,5,4,2,2,3,8,Diet ,1 hour,1-2 days,2,4,3,3 regular meals,"Fast Food / Fried Snacks / Junk Food, Home-cooked / Mess-cooked balanced meals, Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes)",2
8/15/2026 16:16:05,Yes,Female,2nd year,Hostel,5,2,3,4,3,2,2,7,"Deadlines, exams, projects",10000,3-4 days,2,3,4,Skip 1 meal daily,"Fast Food / Fried Snacks / Junk Food, Home-cooked / Mess-cooked balanced meals, Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes), Dietary & Health Supplements(multivitamins, Omega-3, Creatine, Vitamin D, etc)",2
8/15/2026 19:40:03,Yes,Female,2nd year,Living with Family,7 hours,1.5 hours,2,3,2,2,3,3-4 hour at least ,"Habits , diet ",200 steps ,1-2 days,3 hours,5,4-5 liters ,Irregular/Random eating times,"Fresh Fruits / Vegetables, High-Protein items (Eggs, Paneer, Meat, Pulses), Sugary Drinks / Energy Drinks / Excessive Caffeine, Home-cooked / Mess-cooked balanced meals, Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes)",3
8/15/2026 19:56:15,Yes,Male,2nd year,Hostel,6,2,3,5,2,2,3,5,I guess its the both habit and screen time.,8000,0 days,3,3,2,Skip 1 meal daily,"Fast Food / Fried Snacks / Junk Food, Sugary Drinks / Energy Drinks / Excessive Caffeine, Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes)",2
8/15/2026 20:14:03,Yes,Male,2nd year,Flat/PG,9,8,4,4,5,4,5,6,"Screen time, and mental illness",12000  steps,5+ days,1,3,3.5,3 regular meals,"Fresh Fruits / Vegetables, High-Protein items (Eggs, Paneer, Meat, Pulses), Home-cooked / Mess-cooked balanced meals, Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes)",2
8/15/2026 20:35:55,Yes,Female,1st year,Hostel,4-5,2-3,5,5,5,5,5,5,Everything ,25000,5+ days,5-6,4,2-3,Irregular/Random eating times,"Fast Food / Fried Snacks / Junk Food, Sugary Drinks / Energy Drinks / Excessive Caffeine, Home-cooked / Mess-cooked balanced meals, Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes)",2
8/15/2026 21:13:15,Yes,Female,1st year,Living with Family,2-3hrs,4hrs,1,4,4,5,3,6-7hrs,"Overthinking affects my emotional well - being the most.I tend to overthink situations, which sometimes makes me stressed or worried ",30 minutes,0 days,One or half hr,3,2 litre ,Irregular/Random eating times,Home-cooked / Mess-cooked balanced meals,2
8/15/2026 21:19:32,Yes,Female,1st year,Hostel,6-7 hours,3hours,1,3,4,3,4,6 hours, screen time and diet,8000 steps on aberage,3-4 days,1:30-2 hours  ,2,3 litres,3 regular meals,"Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes)",4
8/15/2026 21:19:41,Yes,Female,2nd year,Flat/PG,2hr,5hr,5,5,5,2,5,3hrs,Exams ,20-30min,5+ days,1hr,2,Half litre ,Irregular/Random eating times,Home-cooked / Mess-cooked balanced meals,3
8/15/2026 21:33:55,Yes,Male,2nd year,Living with Family,4 hours ,3-4 hours ,1,1,1,2,1,5,Tensed about my dreams ,10-20 minutes ,1-2 days,4-5,4,5 litre ,3 regular meals,Fresh Fruits / Vegetables,1
8/15/2026 23:02:16,Yes,Female,1st year,Flat/PG,Not specific time,Not specific time ,3,2,4,4,3,6-7 hours,Study exams or may be screen time,May be 1 hour ,0 days,1-2 hour,2,2 ltr,Irregular/Random eating times,"Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes)",5
8/16/2026 10:06:37,Yes,Female,1st year,Flat/PG,7 hours ,2 hours ,3,3,3,3,3,4 to 6 hours,Exams,1000 to 2000 ,0 days,40 minutes,2,2 to 3 litre ,Irregular/Random eating times,"Fresh Fruits / Vegetables, Home-cooked / Mess-cooked balanced meals",5
8/16/2026 12:45:24,Yes,Female,3rd year,Hostel,4hrs,2hr,2,1,1,1,1,2,Screen time ,10min,0 days,1,1,2ltr,Irregular/Random eating times,Fast Food / Fried Snacks / Junk Food,1
8/16/2026 14:10:32,Yes,Female,1st year,Living with Family,1-2 hour,2 hour ,5,4,3,4,5,5-6 hour ,Such as not espesic,Doesn't count ,0 days,1.5 hour,5,3 litre,Irregular/Random eating times,"Home-cooked / Mess-cooked balanced meals, Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes), Dietary & Health Supplements(multivitamins, Omega-3, Creatine, Vitamin D, etc)",4
8/16/2026 20:03:42,Yes,Female,2nd year,Living with Family,3,4,2,4,3,4,4,7 to 8,"Exams, academic pressure, overthinking, irregular sleep, and spending too much time on my phone/social media affect my emotional well-being the most. Diet and not maintaining a proper routine also affect my energy and mood.",30 mins ,3-4 days,2,3,1.5,3 regular meals,"Fresh Fruits / Vegetables, High-Protein items (Eggs, Paneer, Meat, Pulses), Fast Food / Fried Snacks / Junk Food, Home-cooked / Mess-cooked balanced meals, Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes)",2
8/16/2026 20:49:55,Yes,Male,2nd year,Hostel,4,5,3,3,2,2,3,5,Exams,300,1-2 days,30 min,2,3,Irregular/Random eating times,"Fast Food / Fried Snacks / Junk Food, Sugary Drinks / Energy Drinks / Excessive Caffeine, Home-cooked / Mess-cooked balanced meals, Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes)",1
8/17/2026 7:39:34,Yes,Male,2nd year,Flat/PG,3-6 hrs,1-2 hrs,1,3,4,3,4,6 -7 hrs,"Good breakfast , any extra/unnecessary screen time just gives headache,daily walks ",120 to 160 min of walk daily ,1-2 days,5 hrs,3,3-4,Skip 1 meal daily,"Fresh Fruits / Vegetables, High-Protein items (Eggs, Paneer, Meat, Pulses)",3
8/18/2026 10:11:38,Yes,Female,3rd year,Flat/PG,3 hours ,2 hours,4,4,2,3,2,6 hours,"These factors triggers the emotional, physical as well as mental well being especially during the times of fervent stress , which ultimately pulls up into the loop of negative thoughts.",60 minutes ,0 days,2 hours ,1,2 litres ,3 regular meals,"Fresh Fruits / Vegetables, Home-cooked / Mess-cooked balanced meals, Carbohydrate-Rich Foods(Rice, roti, bread, pasta, oats, potatoes)",3
